1,E01,2
2,E02,2
3,E03,2
4,E04,2
5,E05,2
6,E10,2
7,E11,2
8,E12,2
9,E14,2
10,E15,2
11,E16,2
12,E17,2
13,E18,2
14,E19,2
15,E1A,2
16,E1b,2
17,E1C,2
18,E1d,2
19,E1E,2
20,E1F,2
21,E22,2
22,E23,2
23,E24,2
24,E27,2
25,E28,2
26,E29,2
27,E2A,2
28,E2b,2
29,E2C,2
30,E2d,2
31,E2E,2
32,E2F,2
33,E30,2
34,E31,2
35,E32,2
36,E33,2
37,E34,2
38,E35,2
39,E36,2
40,E37,2
41,E38,2
42,E39,2
43,E3A,2
44,E3b,2
45,E3C,2
46,E3E,2
47,E3F,2
48,E41,2
49,E42,2
50,E43,2
51,E44,2
52,E45,2
53,E47,2
54,E48,2
55,E49,2
56,E4A,2
57,E4b,2
58,E4C,2
59,E4E,2
60,E4F,2
61,E50,2
62,E51,2
63,E52,2
64,E53,2
65,E54,2
66,E55,2
67,E56,2
68,E57,2
69,E58,2
70,E62,2
71,E63,2
72,E64,2
73,E65,2
74,E66,2
75,E67,2
76,E68,2
77,E69,2
78,E6A,2
79,E6b,2
80,E6C,2
81,E6d,2
82,E6E,2
83,E6F,2
84,E70,2
85,E71,2
86,E72,2
87,E73,2
88,E74,2
89,E75,2
90,E76,2
91,E77,2
92,E78,2
93,E79,2
94,E7A,2
95,E7b,2
96,E7C,2
97,E7d,2
98,E7E,2
99,E7F,2
100,E80,2
101,E81,2
102,E82,2
103,E83,2
104,E84,2
105,E85,2
106,E86,2
107,E87,2
108,E88,2
109,E89,2
110,E8A,2
111,E8b,2
112,E8C,2
113,E8d,2
114,E8E,2
115,E8F,2
116,E90,2
117,E91,2
118,E92,2
119,E94,2
120,EA0,2
121,EA1,2
122,EA2,2
123,EA3,2
124,EA4,2
125,Eb0,2
126,Eb1,2
127,Eb2,2
128,Eb3,2
129,Eb4,2
130,Eb8,2
131,Eb9,2
132,EbA,2
133,Ebb,2
134,EbC,2
135,ECb,2
136,ECC,2
137,ECE,2
138,CEF,2
139,Ed1,2
140,Ed2,2
141,Ed3,2
142,Ed4,2
143,Ed5,2
144,Ed6,2
145,Ed7,2
146,Ed8,2
147,Ed9,2
148,EdA,2
149,Edb,2
150,EdF,2
151,EE4,2
152,EE5,2
153,EE6,2
154,EE7,2
155,EE8,2
156,EE9,2
157,EEA,2
158,EEb,2
159,EEC,2
160,EEd,2
161,EEr,2
162,EF0,2
163,EF1,2
164,EF2,2
165,EF3,2
166,EF4,2
167,EF5,2
168,EF6,2
169,EF7,2
